standard_scene	dataset_label	dataset
rural/natural	beach	TUTAcousticScenes2017Development
rural/natural	forest_path	TUTAcousticScenes2017Development
rural/natural	park	IEEAASPPublic
rural/natural	Park	CochlScene
rural/natural	Urban park	Cas2023
rural/natural	beach	AudibleBackgrounds
rural/natural	park	AudibleBackgrounds
rural/natural	lakeside	AudibleBackgrounds
rural/natural	park	Archeo
rural/natural	park	JointSoundSceneAndEvent
rural/natural	waterfront	SPASS
rural/natural	farm	OpenWindow
		
farm	farm	OpenWindow
		
waterfront	waterfront	SPASS
		
lakeside	lakeside	AudibleBackgrounds
		
forest	forest_path	TUTAcousticScenes2017Development
forest	forest_path	TutAcousticScenes2017
		
beach	beach	TutAcousticScenes2017
beach	beach	TUTAcousticScenes2017Development
beach	beach	AudibleBackgrounds
		
park	park	TUTAcousticScenes2017Development
park	park	TutAcousticScenes2017
park	park	Dcase2018
park	park	TauUas2020MobileDevelopment
park	park	TauUas2019OpensetDevelopment
park	park	IEEAASPPublic
park	Park	CochlScene
park	Urban park	Cas2023
park	park	AudibleBackgrounds
park	park	Archeo
park	park	JointSoundSceneAndEvent
park	park	SPASS
		
		
		
indoor	bus	TutAcousticScenes2017
indoor	cafe/restaurant	TutAcousticScenes2017
indoor	car	TutAcousticScenes2017
indoor	grocery_store	TutAcousticScenes2017
indoor	home	TutAcousticScenes2017
indoor	library	TutAcousticScenes2017
indoor	metro_station	TutAcousticScenes2017
indoor	office	TutAcousticScenes2017
indoor	train	TutAcousticScenes2017
indoor	tram	TutAcousticScenes2017
indoor	airport	Dcase2018
indoor	bus	Dcase2018
indoor	metro	Dcase2018
indoor	tram	Dcase2018
indoor	metro_station	Dcase2018
indoor	shopping_mall	Dcase2018
indoor	airport	TauUas2019OpensetDevelopment
indoor	bus	TauUas2019OpensetDevelopment
indoor	airport	TauUas2020MobileDevelopment
indoor	bus	TauUas2020MobileDevelopment
indoor	metro	TauUas2020MobileDevelopment
indoor	metro	TauUas2019OpensetDevelopment
indoor	metro_station	TauUas2020MobileDevelopment
indoor	metro_station	TauUas2019OpensetDevelopment
indoor	shopping_mall	TauUas2020MobileDevelopment
indoor	shopping_mall	TauUas2019OpensetDevelopment
indoor	tram	TauUas2020MobileDevelopment
indoor	tram	TauUas2019OpensetDevelopment
indoor	bus	TUTAcousticScenes2017Development
indoor	cafe/restaurant	TUTAcousticScenes2017Development
indoor	car	TUTAcousticScenes2017Development
indoor	grocery_store	TUTAcousticScenes2017Development
indoor	home	TUTAcousticScenes2017Development
indoor	library	TUTAcousticScenes2017Development
indoor	metro_station	TUTAcousticScenes2017Development
indoor	office	TUTAcousticScenes2017Development
indoor	train	TUTAcousticScenes2017Development
indoor	tram	TUTAcousticScenes2017Development
indoor	bus	TUTAcousticScenes2017Development
indoor	office	IEEAASPPublic
indoor	restaurant	IEEAASPPublic
indoor	supermarket	IEEAASPPublic
indoor	tube	IEEAASPPublic
indoor	tubestation	IEEAASPPublic
indoor	Kitchen	CochlScene
indoor	Restaurant	CochlScene
indoor	Restroom	CochlScene
indoor	SubwayStation	CochlScene
indoor	Subway	CochlScene
indoor	Elevator	CochlScene
indoor	Cafe	CochlScene
indoor	Car	CochlScene
indoor	CrowdedIndoor	CochlScene
indoor	Bus	CochlScene
indoor	Airport	Cas2023
indoor	Metro	Cas2023
indoor	Bus	Cas2023
indoor	Restaurant	Cas2023
indoor	Shopping mall	Cas2023
indoor	Bar	Cas2023
indoor	Truck	VehicleInteriorSound
indoor	Bus	VehicleInteriorSound
indoor	Sports car	VehicleInteriorSound
indoor	Crossover	VehicleInteriorSound
indoor	Car (C Class - 4K)	VehicleInteriorSound
indoor	Pickup	VehicleInteriorSound
indoor	Jeep	VehicleInteriorSound
indoor	Minibus	VehicleInteriorSound
indoor	library	Arte
indoor	cafe	Arte
indoor	food_court	Arte
indoor	office	Arte
indoor	living_room	Arte
indoor	train_station	Arte
indoor	street_balcony	Arte
indoor	dinner_party	Arte
indoor	cafe_restaurant	AudibleBackgrounds
indoor	train_interior	AudibleBackgrounds
